repo,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,cbo_q1,cbo_q3,dit_mean,dit_median,dit_std,dit_min,dit_max,dit_q1,dit_q3,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,lcom_q1,lcom_q3
jbloch/effective-java-3e-source-code,202,1.129,1.0,1.08,0,5,0.0,2.0,1.188,1.0,0.657,1,5,1.0,1.0,1.327,0.0,3.479,0,28,0.0,1.0
bitcoin-wallet/bitcoin-wallet,387,7.532,4.0,9.778,0,84,2.0,9.0,1.713,1.0,1.121,1,8,1.0,2.0,5.413,0.0,21.751,0,341,0.0,3.0
makovkastar/FloatingActionButton,27,5.667,3.0,7.621,0,40,2.0,6.0,1.815,2.0,1.21,1,6,1.0,2.0,37.593,1.0,182.6,0,951,0.0,3.0
Piasy/BigImageViewer,84,4.607,3.0,4.817,0,34,2.0,6.25,1.286,1.0,0.528,1,4,1.0,2.0,12.81,1.0,61.288,0,553,0.0,4.0
torakiki/pdfsam,638,6.962,5.0,6.447,0,55,2.0,10.0,1.403,1.0,0.992,1,18,1.0,2.0,4.831,0.0,21.881,0,377,0.0,3.0
orhanobut/hawk,26,3.615,2.0,4.243,0,17,0.0,6.75,1.038,1.0,0.196,1,2,1.0,1.0,12.962,1.0,25.524,0,105,0.0,10.75
qstumn/BadgeView,35,4.343,2.0,5.352,0,26,2.0,5.0,1.314,1.0,0.583,1,3,1.0,1.5,49.886,0.0,220.939,0,1225,0.0,0.5
lilishop/lilishop,1552,7.615,5.0,8.177,0,112,2.0,11.0,1.317,1.0,0.576,1,4,1.0,2.0,13.322,0.0,92.794,0,2628,0.0,1.0
JeremyLiao/LiveEventBus,308,3.227,2.0,3.547,0,26,1.0,4.0,1.11,1.0,0.371,1,3,1.0,1.0,4.036,0.0,16.925,0,141,0.0,1.0
syncthing/syncthing-android,142,6.514,2.5,9.144,0,49,1.0,8.0,1.69,1.0,1.125,1,6,1.0,2.0,9.049,0.0,24.89,0,134,0.0,3.0
zzhoujay/RichText,132,4.273,2.0,5.842,0,33,0.0,6.0,1.447,1.0,0.85,1,5,1.0,2.0,10.545,0.0,45.942,0,348,0.0,2.25
RipMeApp/ripme,320,5.016,4.0,3.456,0,24,3.0,7.0,2.541,2.0,1.286,1,5,1.0,4.0,28.25,4.0,94.416,0,1231,0.0,26.0
awaitility/awaitility,170,3.176,1.0,4.559,0,27,1.0,4.0,1.194,1.0,0.589,1,4,1.0,1.0,18.582,0.0,123.73,0,1466,0.0,1.0
fishercoder1534/Leetcode,5143,1.552,1.0,1.956,0,9,0.0,2.0,1.0,1.0,0.02,1,2,1.0,1.0,0.288,0.0,7.393,0,526,0.0,0.0
rovo89/XposedInstaller,203,4.897,2.0,6.77,0,43,1.0,6.5,1.419,1.0,0.854,1,6,1.0,2.0,8.517,0.0,29.795,0,241,0.0,1.0
binIoter/GuideView,35,3.743,2.0,4.501,0,18,1.0,5.0,1.371,1.0,0.731,1,4,1.0,1.5,8.229,1.0,35.275,0,210,0.0,3.0
googlesamples/mlkit,191,7.67,5.0,8.214,0,51,2.0,11.0,1.534,1.0,0.671,1,4,1.0,2.0,8.115,0.0,32.984,0,376,0.0,3.0
Querz/mcaselector,531,6.847,5.0,7.048,0,64,2.0,9.0,2.437,1.0,3.08,1,31,1.0,3.0,22.179,1.0,161.636,0,3386,0.0,9.0
tronprotocol/java-tron,1652,8.861,7.0,11.164,0,189,3.0,12.0,1.759,1.0,2.019,1,64,1.0,2.0,80.76,1.0,1226.409,0,46427,0.0,6.0
JoanZapata/android-iconify,43,3.512,3.0,3.725,0,12,0.0,5.0,1.233,1.0,0.427,1,2,1.0,1.0,5.186,1.0,15.308,0,93,0.0,1.0
linyiqun/DataMiningAlgorithm,126,2.294,2.0,2.263,0,18,1.0,3.0,1.087,1.0,0.358,1,3,1.0,1.0,9.96,0.0,36.265,0,372,0.0,7.75
rengwuxian/RxJavaSamples,53,4.547,3.0,5.373,0,20,1.0,5.0,1.396,1.0,0.743,1,3,1.0,1.0,1.604,0.0,3.799,0,22,0.0,1.0
iterate-ch/cyberduck,7511,6.462,4.0,8.99,0,177,1.0,8.0,1.353,1.0,0.768,1,11,1.0,1.0,65.482,0.0,1015.041,0,58986,0.0,2.0
ageerle/ruoyi-ai,862,6.352,4.0,6.784,0,54,2.0,8.0,1.284,1.0,0.672,1,6,1.0,1.0,12.887,0.0,54.058,0,808,0.0,3.0
JFormDesigner/FlatLaf,846,3.816,2.0,5.398,0,59,1.0,4.0,3.684,2.0,4.21,1,57,1.0,5.0,64.826,3.0,358.975,0,7285,0.0,15.0
pingfangushi/screw,136,4.985,3.0,4.465,0,19,2.0,8.0,1.353,1.0,0.794,1,5,1.0,1.25,5.243,0.0,9.679,0,66,0.0,6.0
promeG/TinyPinyin,65,2.062,1.0,2.952,0,11,0.0,3.0,1.092,1.0,0.341,1,3,1.0,1.0,8.754,0.0,57.799,0,465,0.0,0.0
bluelinelabs/Conductor,86,5.477,3.0,6.202,0,34,1.0,8.0,1.349,1.0,0.665,1,4,1.0,2.0,71.337,0.0,406.339,0,3494,0.0,9.5
shuzijun/leetcode-editor,301,6.329,4.0,6.032,0,33,2.0,9.0,1.738,1.0,1.175,1,9,1.0,2.0,20.136,0.0,113.552,0,1592,0.0,6.0
databricks/learning-spark,133,2.827,2.0,3.454,0,22,1.0,4.0,1.015,1.0,0.122,1,2,1.0,1.0,1.797,0.0,12.092,0,134,0.0,0.0
sofastack/sofa-rpc,1528,5.221,3.0,5.498,0,42,1.0,7.0,1.322,1.0,0.626,1,5,1.0,2.0,24.512,0.0,128.45,0,2609,0.0,4.0
JavaNoober/BackgroundLibrary,119,4.79,4.0,4.831,0,26,1.0,6.0,1.21,1.0,0.409,1,2,1.0,1.0,34.176,0.0,222.087,0,1722,0.0,6.0
alibaba/jstorm,3956,5.545,4.0,6.568,0,157,2.0,7.0,1.551,1.0,2.01,1,67,1.0,2.0,42.374,1.0,526.013,0,24428,0.0,5.0
Exrick/xboot,349,7.415,6.0,6.822,0,38,2.0,11.0,1.212,1.0,0.532,1,4,1.0,1.0,2.656,0.0,9.35,0,105,0.0,1.0
VaughnVernon/IDDD_Samples,651,4.737,3.0,5.573,0,39,1.0,6.0,1.664,1.0,1.074,1,12,1.0,2.0,27.327,5.0,93.391,0,1647,0.0,15.0
amirzaidi/Launcher3,990,7.24,3.0,10.899,0,150,1.0,9.0,1.475,1.0,0.864,1,8,1.0,2.0,63.681,0.0,728.693,0,16414,0.0,4.0
M66B/FairEmail,4247,4.727,2.0,7.895,0,142,1.0,5.0,1.271,1.0,0.795,1,16,1.0,1.0,33.456,0.0,506.1,0,24938,0.0,1.0
vipulasri/Timeline-View,2,9.0,9.0,8.485,3,15,6.0,12.0,1.5,1.5,0.707,1,2,1.25,1.75,453.5,453.5,639.932,1,906,227.25,679.75
wendux/DSBridge-Android,47,2.979,2.0,3.898,0,23,1.0,3.0,1.106,1.0,0.312,1,2,1.0,1.0,15.979,0.0,72.19,0,406,0.0,1.0
uber/NullAway,579,4.556,2.0,8.769,0,113,1.0,5.0,1.221,1.0,0.509,1,5,1.0,1.0,52.057,0.0,330.676,0,5253,0.0,3.5
google/bundletool,873,9.7,7.0,8.879,0,75,4.0,13.0,1.268,1.0,1.197,1,29,1.0,1.0,82.604,6.0,523.786,0,9591,0.0,28.0
Helium314/HeliBoard,237,6.667,4.0,8.919,0,73,2.0,8.0,1.468,1.0,0.918,1,7,1.0,2.0,71.059,2.0,261.871,0,2491,0.0,21.0
aurelhubert/ahbottomnavigation,46,5.109,2.0,7.54,0,42,2.0,5.0,1.174,1.0,0.383,1,2,1.0,1.0,57.478,0.0,313.31,0,2115,0.0,2.75
MiguelCatalan/MaterialSearchView,41,4.049,2.0,6.281,0,35,0.0,5.0,1.317,1.0,0.521,1,3,1.0,2.0,22.659,1.0,132.522,0,850,0.0,2.0
react-native-share/react-native-share,41,5.585,3.0,4.919,0,22,3.0,9.0,2.073,2.0,0.905,1,3,1.0,3.0,8.61,8.0,11.371,0,64,0.0,10.0
jishenghua/jshERP,360,5.825,3.0,9.91,0,61,1.0,3.0,1.328,1.0,0.542,1,4,1.0,2.0,1674.7,13.0,8186.782,0,90058,0.0,55.0
yanzhenjie/AndServer,214,5.023,3.0,6.298,0,52,1.0,6.0,1.542,1.0,1.193,1,5,1.0,1.0,48.051,1.0,244.822,0,2850,0.0,10.0
ZHENFENG13/My-Blog,58,4.759,3.0,5.799,0,25,1.0,6.75,1.052,1.0,0.394,1,4,1.0,1.0,29.552,5.0,62.485,0,322,0.0,24.0
uknownothingsnow/CircleProgress,25,5.76,6.0,4.216,0,13,2.0,8.0,1.68,2.0,0.69,1,4,1.0,2.0,85.76,1.0,244.341,0,1007,0.0,6.0
Dimezis/BlurView,30,5.9,3.5,5.683,1,20,2.0,8.75,1.5,1.0,0.731,1,3,1.0,2.0,7.0,1.0,14.203,0,70,0.0,9.0
gh0stkey/HaE,67,4.149,1.0,4.613,0,16,1.0,7.0,1.657,1.0,1.553,1,6,1.0,1.0,11.91,0.0,37.964,0,287,0.0,7.0
shopizer-ecommerce/shopizer,1233,7.937,4.0,9.724,0,92,1.0,12.0,1.683,1.0,0.98,1,6,1.0,2.0,34.145,2.0,130.939,0,2617,0.0,15.0
sunfusheng/MarqueeView,22,5.409,4.0,4.886,0,16,1.0,8.75,1.364,1.0,0.492,1,2,1.0,2.0,5.455,0.0,12.086,0,45,0.0,3.0
fesh0r/fernflower,698,4.421,1.0,7.851,0,79,0.0,5.0,1.228,1.0,0.626,1,8,1.0,1.0,37.566,0.0,507.356,0,13203,0.0,3.0
mpusher/mpush,398,4.731,3.0,5.323,0,36,1.0,6.0,1.344,1.0,0.695,1,4,1.0,1.0,24.565,1.0,171.614,0,3219,0.0,6.75
watabou/pixel-dungeon,839,5.723,4.0,7.323,0,95,2.0,8.0,2.545,2.0,1.652,1,13,1.0,3.0,12.423,1.0,61.688,0,1012,0.0,3.0
mcxtzhang/SwipeDelMenuLayout,40,3.1,2.0,3.342,0,16,1.0,3.25,1.25,1.0,0.439,1,2,1.0,1.25,5.2,0.0,28.599,0,180,0.0,0.0
lygttpod/SuperTextView,86,3.047,2.0,5.847,0,43,1.0,2.0,1.163,1.0,0.402,1,3,1.0,1.0,141.674,0.0,1033.994,0,9393,0.0,0.0
CameraKit/blurkit-android,10,6.1,5.0,5.646,0,19,1.75,8.5,1.5,1.0,0.707,1,3,1.0,2.0,30.3,0.0,90.003,0,286,0.0,0.0
MovingBlocks/Terasology,2810,6.099,4.0,7.791,0,78,2.0,8.0,1.445,1.0,0.858,1,14,1.0,2.0,25.027,0.0,170.935,0,5539,0.0,6.0
Ereza/CustomActivityOnCrash,15,5.4,4.0,4.763,0,16,2.0,7.0,1.333,1.0,0.488,1,2,1.0,2.0,32.333,0.0,80.059,0,252,0.0,5.0
roboguice/roboguice,3335,4.5,3.0,6.404,0,73,1.0,5.0,1.223,1.0,1.022,1,41,1.0,1.0,7.128,0.0,70.398,0,3207,0.0,0.0
AsamK/signal-cli,491,6.976,4.0,11.587,0,113,1.0,8.5,1.576,1.0,2.142,1,43,1.0,2.0,48.301,0.0,382.445,0,7253,0.0,6.0
timehop/sticky-headers-recyclerview,29,4.621,2.0,4.946,0,17,1.0,7.0,1.276,1.0,0.528,1,3,1.0,1.0,3.241,0.0,6.68,0,31,0.0,3.0
zhpanvip/BannerViewPager,73,5.411,3.0,7.199,0,46,1.0,8.0,1.411,1.0,0.723,1,4,1.0,2.0,47.822,0.0,227.591,0,1495,0.0,6.0
sofastack/sofa-jraft,1438,6.228,3.0,8.565,0,129,2.0,8.0,1.464,1.0,1.089,1,18,1.0,2.0,76.505,1.0,318.96,0,7221,0.0,10.0
andOTP/andOTP,166,6.108,3.0,8.454,0,55,1.0,8.0,1.5,1.0,0.983,1,6,1.0,2.0,41.416,0.0,339.33,0,4273,0.0,3.75
RoaringBitmap/RoaringBitmap,638,5.586,5.0,4.822,0,33,2.0,7.75,1.139,1.0,0.466,1,7,1.0,1.0,259.594,0.0,1873.912,0,31878,0.0,10.0
spotbugs/spotbugs,5270,4.083,2.0,7.737,0,193,1.0,4.0,1.369,1.0,0.869,1,15,1.0,2.0,25.773,0.0,367.569,0,19493,0.0,3.0
JCTools/JCTools,788,4.602,3.0,5.363,0,93,2.0,6.0,3.909,2.5,3.362,1,18,1.0,6.0,19.966,0.0,82.093,0,1102,0.0,3.0
ethanhua/Skeleton,33,3.727,3.0,3.403,0,13,2.0,4.0,1.242,1.0,0.502,1,3,1.0,1.0,4.606,0.0,14.506,0,65,0.0,1.0
Atmosphere/atmosphere,741,5.497,3.0,6.645,0,86,1.0,7.0,1.308,1.0,0.809,1,9,1.0,1.0,55.026,1.0,591.174,0,14605,0.0,6.0
willowtreeapps/spruce-android,122,4.861,3.0,6.095,0,44,1.0,7.0,1.369,1.0,0.752,1,5,1.0,1.75,5.352,0.0,30.992,0,336,0.0,1.0
ByteLegend/ByteLegend,295,6.98,7.0,2.816,0,18,7.0,8.0,1.003,1.0,0.058,1,2,1.0,1.0,727.844,20.0,2317.183,0,13027,0.0,553.0
stfalcon-studio/ChatKit,108,5.769,3.0,6.546,0,34,1.0,9.25,2.898,2.0,4.832,1,47,1.0,3.0,35.481,0.0,135.543,0,937,0.0,9.0
nICEnnnnnnnLee/BilibiliDown,262,4.206,2.0,4.249,0,18,1.0,6.0,1.721,1.0,1.354,1,7,1.0,2.0,42.019,1.0,307.271,0,4356,0.0,13.0
javahuang/SurveyKing,400,5.175,3.0,8.654,0,77,1.0,5.0,1.23,1.0,0.541,1,4,1.0,1.0,7.825,0.0,38.635,0,430,0.0,0.0
ryanhoo/StylishMusicPlayer,194,5.026,3.0,5.792,0,35,2.0,6.0,1.309,1.0,0.65,1,4,1.0,1.0,13.216,0.0,40.407,0,364,0.0,6.0
liuyubobobo/Play-with-Algorithms,133,2.895,2.0,2.41,0,11,1.0,3.0,1.008,1.0,0.087,1,2,1.0,1.0,5.203,0.0,20.64,0,233,0.0,6.0
rbmonster/learning-note,658,2.195,2.0,2.412,0,23,1.0,3.0,1.173,1.0,0.547,1,4,1.0,1.0,2.894,0.0,21.75,0,464,0.0,1.0
yanzhenjie/NoHttp,228,4.456,3.0,4.741,0,27,1.0,6.0,1.5,1.0,0.805,1,4,1.0,2.0,45.649,1.0,302.143,0,4050,0.0,6.0
undertow-io/undertow,3103,5.204,3.0,6.364,0,63,2.0,6.0,1.242,1.0,0.717,1,16,1.0,1.0,36.599,0.0,501.717,0,20305,0.0,3.0
jtablesaw/tablesaw,765,6.271,4.0,6.691,0,48,2.0,8.0,1.285,1.0,0.601,1,6,1.0,1.0,108.529,1.0,478.854,0,6739,0.0,10.0
Creators-of-Create/Create,2532,10.753,8.0,10.222,0,213,5.0,14.0,1.809,2.0,1.177,1,37,1.0,2.0,27.797,3.0,109.732,0,3096,0.0,15.0
lihangleo2/ShadowLayout,65,4.0,2.0,5.559,0,34,1.0,5.0,1.138,1.0,0.348,1,2,1.0,1.0,21.615,0.0,103.069,0,657,0.0,3.0
yacy/yacy_search_server,1434,5.556,4.0,6.609,0,84,1.0,7.0,1.386,1.0,0.784,1,10,1.0,2.0,43.16,0.0,231.98,0,3620,0.0,10.0
yangfuhai/ASimpleCache,29,4.448,2.0,5.248,0,22,0.0,8.0,1.448,1.0,0.632,1,3,1.0,2.0,38.517,0.0,109.503,0,436,0.0,0.0
dingjikerbo/Android-BluetoothKit,241,4.075,2.0,5.432,0,42,1.0,5.0,1.241,1.0,0.508,1,3,1.0,1.0,18.701,0.0,75.066,0,785,0.0,4.0
networknt/light-4j,1235,4.572,3.0,5.232,0,54,1.0,6.0,1.171,1.0,0.567,1,7,1.0,1.0,23.314,0.0,121.851,0,2553,0.0,6.5
grpc-ecosystem/grpc-spring,418,6.605,6.0,5.249,0,33,3.0,9.0,1.478,1.0,1.147,1,17,1.0,2.0,5.368,0.0,24.049,0,270,0.0,1.0
lisawray/groupie,93,5.097,3.0,5.407,0,41,2.0,7.0,1.828,1.0,1.007,1,5,1.0,2.0,29.903,0.0,141.478,0,1097,0.0,3.0
google/rejoiner,131,6.618,5.0,6.22,0,44,3.0,8.0,1.573,1.0,1.045,1,8,1.0,2.0,4.924,0.0,14.935,0,142,0.0,3.0
linkedin/databus,1516,5.528,3.0,8.027,0,78,1.0,7.0,1.357,1.0,0.798,1,15,1.0,1.0,46.735,0.0,228.178,0,4727,0.0,11.0
coderbruis/JavaSourceCodeLearning,317,2.855,2.0,2.962,0,23,1.0,4.0,1.259,1.0,0.473,1,3,1.0,1.0,3.139,0.0,9.482,0,84,0.0,1.0
KunMinX/Linkage-RecyclerView,75,6.4,5.0,6.301,0,31,2.0,10.5,1.547,1.0,0.722,1,3,1.0,2.0,10.387,1.0,24.499,0,172,0.0,13.0
tchiotludo/akhq,305,8.203,6.0,7.888,0,58,3.0,11.0,1.292,1.0,0.529,1,4,1.0,2.0,29.01,0.0,147.832,0,1365,0.0,1.0
PlexPt/chatgpt-java,69,5.275,3.0,6.444,0,40,2.0,7.0,1.275,1.0,0.725,1,4,1.0,1.0,14.594,0.0,57.795,0,360,0.0,0.0
litesuits/android-common,85,3.518,2.0,3.578,0,16,1.0,5.0,1.247,1.0,0.596,1,4,1.0,1.0,124.353,1.0,700.444,0,5063,0.0,15.0
FasterXML/jackson-databind,5236,3.773,2.0,5.578,0,108,1.0,5.0,1.71,1.0,1.785,1,45,1.0,2.0,24.21,0.0,422.143,0,26577,0.0,1.0
huburt-Hu/NewbieGuide,78,4.308,3.0,4.562,0,24,2.0,5.0,1.179,1.0,0.419,1,3,1.0,1.0,10.436,0.0,65.121,0,570,0.0,1.0
uncle-novel/uncle-novel,269,7.29,5.0,8.771,0,57,2.0,9.0,1.658,1.0,0.848,1,5,1.0,2.0,10.416,0.0,35.716,0,334,0.0,5.0
blossom-editor/blossom,435,5.724,3.0,6.506,0,45,1.5,7.0,1.345,1.0,0.672,1,5,1.0,2.0,6.977,0.0,26.82,0,331,0.0,3.0
rockerhieu/emojicon,39,5.154,4.0,5.239,0,22,1.0,6.0,1.564,1.0,0.788,1,4,1.0,2.0,6.769,0.0,12.985,0,54,0.0,8.0
alibaba/Alink,8181,6.438,5.0,6.236,0,61,2.0,8.0,1.627,1.0,1.0,1,18,1.0,2.0,34.703,0.0,236.706,0,8073,0.0,3.0
Mojang/brigadier,85,6.635,5.0,5.438,0,29,3.0,9.0,1.153,1.0,0.394,1,3,1.0,1.0,44.553,0.0,231.113,0,2080,0.0,15.0
spring-io/initializr,738,5.908,4.0,6.0,0,46,2.0,8.0,1.267,1.0,0.626,1,5,1.0,1.0,33.733,1.0,172.493,0,3321,0.0,10.0
mbechler/marshalsec,72,7.292,6.0,5.64,0,23,3.0,10.0,1.819,1.0,1.025,1,5,1.0,3.0,14.583,1.0,39.035,0,210,0.0,7.0
tyrantgit/ExplosionField,10,4.9,2.0,4.932,0,14,1.25,8.0,1.5,1.5,0.527,1,2,1.0,2.0,4.3,0.0,10.393,0,33,0.0,1.5
kikoso/android-stackblur,41,1.756,0.0,3.727,0,20,0.0,2.0,1.098,1.0,0.49,1,4,1.0,1.0,0.585,0.0,1.897,0,11,0.0,0.0
vert-x3/vertx-examples,451,5.339,5.0,2.655,0,17,4.0,7.0,1.823,2.0,0.52,1,3,2.0,2.0,1.018,1.0,2.501,0,35,0.0,1.0
dongjunkun/DropDownMenu,19,4.526,3.0,3.657,1,14,2.0,5.5,1.368,1.0,0.496,1,2,1.0,2.0,2.158,0.0,4.246,0,13,0.0,0.5
WVector/AppUpdate,64,4.438,3.0,6.013,0,31,1.0,4.0,1.156,1.0,0.407,1,3,1.0,1.0,37.141,1.0,112.163,0,545,0.0,10.0
hmkcode/Android,56,4.696,4.5,3.458,0,13,2.0,7.0,1.661,2.0,0.581,1,3,1.0,2.0,2.143,1.0,3.942,0,22,0.0,3.0
googlemaps/android-maps-utils,219,7.123,5.0,7.159,0,49,3.0,9.5,1.676,1.0,0.934,1,6,1.0,2.0,37.74,1.0,147.685,0,1738,0.0,10.5
OpenHFT/Chronicle-Queue,499,5.495,4.0,6.249,0,53,1.0,8.0,1.591,1.0,0.858,1,8,1.0,2.0,177.401,0.0,2216.009,0,34716,0.0,4.0
IrisShaders/Iris,912,6.251,4.0,7.075,0,92,2.0,8.0,1.316,1.0,0.872,1,14,1.0,1.0,22.638,0.0,153.689,0,2737,0.0,4.25
JakeWharton/ThreeTenABP,7,4.286,4.0,1.799,2,7,3.0,5.5,1.429,1.0,0.535,1,2,1.0,2.0,1.429,0.0,2.299,0,6,0.0,2.0
davideas/FlexibleAdapter,326,6.025,4.0,7.618,0,74,1.0,8.0,2.113,1.0,1.641,1,8,1.0,3.0,102.31,1.0,1467.202,0,26488,0.0,10.0
DataLinkDC/dinky,1333,7.131,5.0,8.088,0,76,2.0,9.0,1.356,1.0,0.711,1,5,1.0,1.0,25.929,0.0,111.5,0,1711,0.0,6.0
code4craft/netty-learning,1164,5.064,4.0,4.803,0,31,2.0,7.0,1.65,1.0,1.126,1,14,1.0,2.0,39.249,1.0,377.979,0,8875,0.0,6.0
dropbox/hackpad,619,5.089,3.0,7.137,0,76,1.0,6.0,1.806,1.0,1.361,1,11,1.0,2.0,152.299,1.0,963.645,0,19840,0.0,31.0
bilibili/MagicaSakura,84,8.298,7.5,7.292,0,40,2.0,12.0,1.679,2.0,1.194,1,11,1.0,2.0,25.44,3.0,73.533,0,543,1.0,16.5
HelloWorld521/Java,124,3.806,2.0,4.102,0,22,1.0,6.0,1.419,1.0,0.847,1,5,1.0,1.0,5.097,1.0,13.849,0,104,0.0,3.0
johncarl81/parceler,440,4.693,3.0,7.076,0,95,2.0,5.0,1.35,1.0,1.321,1,23,1.0,1.0,16.589,0.0,219.619,0,4464,0.0,1.0
anggrayudi/android-hidden-api,4,8.0,7.5,5.477,2,15,5.0,10.5,1.0,1.0,0.0,1,1,1.0,1.0,56.5,0.5,112.334,0,225,0.0,57.0
fyhertz/libstreaming,89,3.573,2.0,4.56,0,25,1.0,5.0,1.416,1.0,0.864,1,5,1.0,1.0,23.292,0.0,66.564,0,429,0.0,10.0
arimorty/floatingsearchview,135,3.57,2.0,7.119,0,68,1.0,3.0,1.178,1.0,0.471,1,3,1.0,1.0,26.281,0.0,242.919,0,2796,0.0,1.0
LinShunKang/MyPerf4J,306,4.101,3.0,4.463,0,44,2.0,6.0,1.173,1.0,0.379,1,2,1.0,1.0,10.611,1.0,40.44,0,441,0.0,3.0
luontola/retrolambda,240,2.475,1.0,5.254,0,51,0.0,3.0,1.412,1.0,0.924,1,7,1.0,2.0,9.004,0.0,43.567,0,406,0.0,1.0
andremion/Music-Player,32,4.406,3.5,3.68,0,12,1.0,6.0,1.75,2.0,0.803,1,4,1.0,2.0,5.031,0.5,9.767,0,37,0.0,6.5
Netflix/maestro,1028,8.384,6.0,8.115,0,54,3.0,12.0,1.62,1.0,0.893,1,6,1.0,2.0,28.879,0.0,383.647,0,11921,0.0,3.0
immutables/immutables,2736,4.678,3.0,5.088,0,70,2.0,6.0,1.283,1.0,1.139,1,21,1.0,1.0,30.607,0.0,559.029,0,20012,0.0,2.0
dariuszseweryn/RxAndroidBle,477,5.373,3.0,6.466,0,42,1.0,6.0,1.314,1.0,0.901,1,6,1.0,1.0,53.482,0.0,620.628,0,12209,0.0,3.0
lsjwzh/RecyclerViewPager,71,4.31,2.0,4.278,0,19,1.5,7.0,1.493,1.0,0.715,1,4,1.0,2.0,9.972,0.0,59.924,0,500,0.0,1.0
nytimes/Store,290,6.2,5.0,4.984,0,35,3.0,8.75,1.562,1.0,3.139,1,52,1.0,1.0,17.055,1.0,124.666,0,2053,0.0,5.0
cSploit/android,512,4.209,2.0,5.762,0,59,1.0,5.0,1.518,1.0,1.041,1,9,1.0,2.0,15.652,0.0,173.806,0,3766,0.0,1.0
baoyongzhang/SwipeMenuListView,33,4.394,2.0,4.834,0,16,1.0,6.0,1.455,1.0,0.754,1,4,1.0,2.0,15.242,1.0,40.261,0,158,0.0,4.0
codeestX/GeekNews,439,4.626,2.0,5.223,0,33,2.0,6.0,1.446,1.0,0.917,1,5,1.0,2.0,10.009,0.0,37.65,0,537,0.0,3.0
lenve/JavaEETest,154,3.519,3.0,3.396,0,20,1.0,4.75,1.097,1.0,0.357,1,3,1.0,1.0,3.266,0.0,9.689,0,77,0.0,2.0
KingJA/LoadSir,74,5.189,3.0,4.353,0,18,2.0,8.0,1.554,1.5,0.6,1,3,1.0,2.0,4.014,0.0,11.99,0,91,0.0,1.75
AxonFramework/AxonFramework,3828,6.472,5.0,6.887,0,85,2.0,9.0,1.284,1.0,0.782,1,16,1.0,1.0,16.119,0.0,101.429,0,2926,0.0,4.0
ittianyu/BottomNavigationViewEx,29,4.897,3.0,5.122,0,23,2.0,7.0,1.586,1.0,0.733,1,3,1.0,2.0,50.138,0.0,185.897,0,741,0.0,0.0
freeplane/freeplane,3560,4.548,3.0,6.396,0,93,1.0,6.0,1.565,1.0,1.29,1,19,1.0,2.0,48.397,0.0,532.416,0,20297,0.0,6.0
RikkaApps/Sui,89,4.933,3.0,5.724,0,31,1.0,7.0,1.18,1.0,0.415,1,3,1.0,1.0,14.551,1.0,66.219,0,435,0.0,3.0
phodal/migration,12,1.417,1.0,0.669,1,3,1.0,2.0,1.0,1.0,0.0,1,1,1.0,1.0,0.083,0.0,0.289,0,1,0.0,0.0
eclipse-openj9/openj9,7204,3.354,2.0,5.084,0,101,0.0,4.0,1.536,1.0,1.381,1,48,1.0,2.0,110.977,0.0,2142.747,0,112810,0.0,6.0
Netflix/concurrency-limits,128,4.609,3.0,4.598,0,22,2.0,7.0,1.281,1.0,0.709,1,5,1.0,1.0,8.281,1.0,21.318,0,188,0.0,6.25
rubensousa/PreviewSeekBar,23,5.652,2.0,6.343,0,20,1.0,10.0,1.174,1.0,0.388,1,2,1.0,1.0,28.174,1.0,64.217,0,238,0.0,8.5
Grt1228/chatgpt-java,201,6.741,4.0,9.417,0,86,2.0,8.0,1.1,1.0,0.361,1,4,1.0,1.0,11.93,0.0,137.903,0,1953,0.0,0.0
ferredoxin/QNotified,511,6.006,4.0,6.217,0,37,2.0,8.0,1.63,1.0,1.22,1,7,1.0,2.0,47.767,0.0,505.761,0,11147,0.0,6.0
apache/fory,1443,5.304,3.0,7.615,0,125,1.0,7.0,2.198,1.0,4.302,1,90,1.0,2.0,38.443,0.0,258.741,0,5253,0.0,4.0
alamkanak/Android-Week-View,27,3.63,2.0,7.201,0,36,0.0,3.0,1.259,1.0,0.594,1,3,1.0,1.0,238.333,0.0,1189.258,0,6187,0.0,2.0
loks666/get_jobs,52,4.481,3.0,4.245,0,16,2.0,5.0,1.0,1.0,0.0,1,1,1.0,1.0,30.423,0.0,129.802,0,762,0.0,3.0
crossoverJie/SSM,218,3.188,2.0,3.973,0,24,1.0,4.0,1.151,1.0,0.359,1,2,1.0,1.0,110.803,2.0,431.315,0,2586,0.0,20.0
rom1v/sndcpy,4,7.75,4.5,8.261,2,20,3.5,8.75,2.0,2.0,0.816,1,3,1.75,2.25,20.25,0.0,40.5,0,81,0.0,20.25
sherxon/AlgoDS,710,1.338,1.0,0.832,0,4,1.0,2.0,1.004,1.0,0.065,1,2,1.0,1.0,1.411,0.0,4.1,0,68,0.0,1.0
guolindev/giffun,478,5.383,3.0,6.834,0,73,2.0,7.0,1.278,1.0,0.664,1,6,1.0,1.0,25.339,1.0,126.866,0,1382,0.0,4.0
xcc3641/SeeWeather,106,4.925,3.0,5.804,0,28,1.0,6.0,1.538,1.0,1.197,1,10,1.0,2.0,6.123,1.0,14.984,0,105,0.0,4.0
